src,dst,year
1,827,2001
7,5423,2001
7,6745,2001
7,9218,2001
9,430,2001
9,3437,2001
9,4021,2001
9,4570,2001
9,8822,2001
9,14423,2001
10,13,2001
10,6245,2001
11,12,2001
11,6184,2001
12,6184,2001
13,6245,2001
15,1532,2001
15,4201,2001
20,545,2001
20,1815,2001
20,6133,2001
20,8749,2001
20,11780,2001
20,12396,2001
23,637,2001
23,10348,2001
23,10639,2001
24,8774,2001
26,83,2001
26,84,2001
26,305,2001
28,665,2001
28,1295,2001
28,1902,2001
28,10966,2001
28,11497,2001
28,12500,2001
28,13325,2001
29,31,2001
29,32,2001
29,13529,2001
31,32,2001
31,9284,2001
31,14218,2001
31,14219,2001
32,9284,2001
32,14218,2001
32,14219,2001
37,10650,2001
37,12273,2001
40,9490,2001
46,2344,2001
46,11694,2001
47,1131,2001
47,2512,2001
47,9294,2001
47,12886,2001
47,13665,2001
47,13670,2001
52,14504,2001
54,13983,2001
56,4994,2001
56,13732,2001
62,13550,2001
62,13551,2001
63,1181,2001
63,9330,2001
63,14449,2001
67,7988,2001
67,11458,2001
67,11871,2001
73,9775,2001
73,13385,2001
73,13386,2001
83,84,2001
83,305,2001
83,433,2001
83,637,2001
83,11288,2001
83,12523,2001
83,13855,2001
83,13856,2001
83,13857,2001
83,13858,2001
83,13859,2001
84,305,2001
84,433,2001
84,637,2001
84,10032,2001
84,10862,2001
91,1043,2001
91,8431,2001
93,749,2001
93,810,2001
93,9528,2001
93,13381,2001
93,13715,2001
97,14357,2001
97,14358,2001
97,14359,2001
101,8086,2001
106,174,2001
106,449,2001
106,3267,2001
106,6671,2001
106,13869,2001
106,14419,2001
108,11950,2001
112,7149,2001
112,8256,2001
112,9057,2001
112,13994,2001
112,13995,2001
112,14116,2001
114,8779,2001
114,14215,2001
116,9256,2001
116,11784,2001
116,12680,2001
119,8868,2001
119,14311,2001
140,13217,2001
141,14517,2001
142,6745,2001
142,11155,2001
142,12183,2001
142,13105,2001
142,13106,2001
142,13763,2001
145,827,2001
149,518,2001
152,13474,2001
160,360,2001
160,2660,2001
160,13405,2001
160,14274,2001
161,753,2001
161,13355,2001
161,13356,2001
162,13782,2001
167,13780,2001
174,449,2001
174,2102,2001
174,3267,2001
174,5944,2001
174,6671,2001
174,13869,2001
174,14419,2001
179,1903,2001
179,2940,2001
179,11290,2001
179,11291,2001
179,11292,2001
179,11778,2001
179,12902,2001
179,13191,2001
179,13419,2001
179,13420,2001
179,13755,2001
179,14320,2001
188,9097,2001
188,10400,2001
188,11953,2001
188,12836,2001
188,13022,2001
188,13631,2001
188,13676,2001
189,10860,2001
193,1352,2001
193,2222,2001
193,13458,2001
193,13890,2001
197,3652,2001
197,12292,2001
197,13846,2001
198,2290,2001
198,10521,2001
201,1179,2001
201,10976,2001
201,13243,2001
201,13244,2001
202,1210,2001
202,1214,2001
202,6477,2001
202,7748,2001
202,10658,2001
208,1449,2001
208,14488,2001
208,14489,2001
208,14490,2001
227,10689,2001
227,13799,2001
227,13805,2001
230,13639,2001
233,13891,2001
237,3071,2001
237,13136,2001
238,8428,2001
238,12192,2001
238,13274,2001
241,10893,2001
