id,author
0,C. Itzykson
1,J.-B. Zuber
2,F.Bonechi
3,E.Celeghini
4,R.Giachetti
5,E.Sorace
6,M.Tarlini
7,Mirjam Cvetic
8,Stephen Griffies
9,Soo-Jong Rey
10,A.Marshakov
11,A.Mironov
12,A.Morozov
13,A.Zabrodin
14,S.Kharchev
15,P. Berglund
16,"T. H ""ubsch"
17,S. Kar
18,S. Khastgir
19,A. Kumar
20,Nathan Seiberg
21,Stephen Shenker
22,J. A. Dixon
23,M. J. Duff
24,E. Sezgin
25,A.S. Galperin
26,K.S. Stelle
27,J. Russo
28,A.A. Tseytlin
29,H. Aratyn
30,L.A. Ferreira
31,J.F. Gomes
32,A.H. Zimerman
33,M.Forger
34,J.Laartz
35,U.Schaeper
36,Jean-Loup Gervais
37,Yutaka Matsuo
38,J. M. Isidro
39,J. M. F. Labastida
40,A. V. Ramallo
41,Terry Gannon
42,C.S. Lam
43,R.M. Ricotta
44,L. Chekhov
45,Yu. Makeenko
46,Katsumi Itoh
47,Nobuyoshi Ohta
48,O. Babelon
49,M. Talon
50,Mordechai Spiegelglas
51,Shimon Yankielowicz
52,L. Feher
53,L. O'Raifeartaigh
54,P. Ruelle
55,I. Tsutsui
56,I. Jack
57,D. R. T. Jones
58,J. Panvel Authors: 14p Journal-ref: Nucl. Phys. B393 95 We show that Witten's two-dimensional string black hole metric is exactly conformally invariant in the supersymmetric case. We also demonstrate that this metric
59,together with a recently proposed exact metric for the bosonic case
60,are respectively consistent with the supersymmetric
61,bosonic $ sigma$-model conformal invariance conditions up to four-loop order.
62,Taichiro Kugo
63,Barton Zwiebach
64,Alberto Carlini
65,Maurizio Martellini
66,M.A.R. Osorio
67,M.A. Vazquez-Mozo
68,Ramzi R. Khuri
69,HoSeong La
70,18 pages Journal-ref: Phys.Lett. B279 272-280 The duality-invariant gaugino condensation with or without massive matter fields is re-analysed
71,taking into account the dependence of the string threshold corrections on the moduli fields
72,"recent results concerning one-loop corrected K ""ahler potentials. The scalar potential of the theory for a generic superpotential is also calculated."
73,A.P.Balachandran
74,G.Bimonte
75,K.S.Gupta
